Time,Command_1,Z_1,Step_1,Command_2,Z_2,Step_2
20.000000,-1.607598,106.231486,100.000000,-0.818682,51.896061,50.000000
20.100000,-1.574319,106.235870,100.000000,-0.816135,51.899222,50.000000
20.200000,-1.541421,106.238691,100.000000,-0.812914,51.901555,50.000000
20.300000,-1.508941,106.239988,100.000000,-0.808987,51.903067,50.000000
20.400000,-1.476908,106.239802,100.000000,-0.804331,51.903768,50.000000
20.500000,-1.445350,106.238172,100.000000,-0.798929,51.903666,50.000000
20.600000,-1.414291,106.235136,100.000000,-0.792771,51.902771,50.000000
20.700000,-1.383749,106.230731,100.000000,-0.785854,51.901095,50.000000
20.800000,-1.353743,106.224995,100.000000,-0.778179,51.898650,50.000000
20.900000,-1.324287,106.217962,100.000000,-0.769754,51.895447,50.000000
21.000000,-1.295391,106.209670,100.000000,-0.760594,51.891499,50.000000
21.100000,-1.267064,106.200152,100.000000,-0.750714,51.886820,50.000000
21.200000,-1.239311,106.189442,100.000000,-0.740137,51.881425,50.000000
21.300000,-1.212137,106.177574,100.000000,-0.728889,51.875328,50.000000
21.400000,-1.185543,106.164579,100.000000,-0.716999,51.868544,50.000000
21.500000,-1.159528,106.150490,100.000000,-0.704499,51.861090,50.000000
21.600000,-1.134091,106.135337,100.000000,-0.691423,51.852981,50.000000
21.700000,-1.109226,106.119151,100.000000,-0.677808,51.844235,50.000000
21.800000,-1.084930,106.101961,100.000000,-0.663692,51.834869,50.000000
21.900000,-1.061193,106.083796,100.000000,-0.649117,51.824901,50.000000
22.000000,-1.038010,106.064683,100.000000,-0.634122,51.814349,50.000000
22.100000,-1.015369,106.044650,100.000000,-0.618750,51.803231,50.000000
22.200000,-0.993262,106.023725,100.000000,-0.603042,51.791565,50.000000
22.300000,-0.971676,106.001932,100.000000,-0.587042,51.779370,50.000000
22.400000,-0.950601,105.979298,100.000000,-0.570792,51.766666,50.000000
22.500000,-0.930023,105.955847,100.000000,-0.554333,51.753471,50.000000
22.600000,-0.909929,105.931603,100.000000,-0.537707,51.739804,50.000000
22.700000,-0.890307,105.906590,100.000000,-0.520955,51.725685,50.000000
22.800000,-0.871141,105.880832,100.000000,-0.504115,51.711132,50.000000
22.900000,-0.852419,105.854349,100.000000,-0.487226,51.696164,50.000000
23.000000,-0.834125,105.827165,100.000000,-0.470326,51.680801,50.000000
23.100000,-0.816247,105.799300,100.000000,-0.453449,51.665062,50.000000
23.200000,-0.798768,105.770776,100.000000,-0.436630,51.648964,50.000000
23.300000,-0.781675,105.741613,100.000000,-0.419900,51.632527,50.000000
23.400000,-0.764953,105.711831,100.000000,-0.403290,51.615769,50.000000
23.500000,-0.748589,105.681449,100.000000,-0.386829,51.598708,50.000000
23.600000,-0.732569,105.650486,100.000000,-0.370543,51.581362,50.000000
23.700000,-0.716878,105.618962,100.000000,-0.354456,51.563748,50.000000
23.800000,-0.701503,105.586893,100.000000,-0.338593,51.545883,50.000000
23.900000,-0.686432,105.554299,100.000000,-0.322973,51.527785,50.000000
24.000000,-0.671651,105.521196,100.000000,-0.307615,51.509470,50.000000
24.100000,-0.657148,105.487601,100.000000,-0.292537,51.490954,50.000000
24.200000,-0.642911,105.453531,100.000000,-0.277753,51.472252,50.000000
24.300000,-0.628929,105.419002,100.000000,-0.263276,51.453381,50.000000
24.400000,-0.615190,105.384031,100.000000,-0.249119,51.434355,50.000000
24.500000,-0.601683,105.348634,100.000000,-0.235290,51.415189,50.000000
24.600000,-0.588399,105.312824,100.000000,-0.221798,51.395897,50.000000
24.700000,-0.575327,105.276619,100.000000,-0.208648,51.376492,50.000000
24.800000,-0.562459,105.240032,100.000000,-0.195846,51.356989,50.000000
24.900000,-0.549785,105.203078,100.000000,-0.183395,51.337400,50.000000
25.000000,-0.537296,105.165772,100.000000,-0.171296,51.317738,50.000000
25.100000,-0.524986,105.128127,100.000000,-0.159551,51.298014,50.000000
25.200000,-0.512846,105.090158,100.000000,-0.148158,51.278241,50.000000
25.300000,-0.500870,105.051878,100.000000,-0.137116,51.258430,50.000000
25.400000,-0.489050,105.013300,100.000000,-0.126421,51.238591,50.000000
25.500000,-0.477381,104.974437,100.000000,-0.116070,51.218735,50.000000
25.600000,-0.465858,104.935303,100.000000,-0.106059,51.198873,50.000000
25.700000,-0.454473,104.895910,100.000000,-0.096381,51.179013,50.000000
25.800000,-0.443224,104.856271,100.000000,-0.087031,51.159166,50.000000
25.900000,-0.432105,104.816398,100.000000,-0.078001,51.139340,50.000000
26.000000,-0.421112,104.776303,100.000000,-0.069284,51.119544,50.000000
26.100000,-0.410242,104.735999,100.000000,-0.060872,51.099786,50.000000
26.200000,-0.399490,104.695496,100.000000,-0.052758,51.080074,50.000000
26.300000,-0.388855,104.654807,100.000000,-0.044931,51.060416,50.000000
26.400000,-0.378333,104.613943,100.000000,-0.037385,51.040818,50.000000
26.500000,-0.367921,104.572916,100.000000,-0.030109,51.021289,50.000000
26.600000,-0.357618,104.531736,100.000000,-0.023094,51.001834,50.000000
26.700000,-0.347422,104.490415,100.000000,-0.016332,50.982460,50.000000
26.800000,-0.337331,104.448963,100.000000,-0.009813,50.963173,50.000000
26.900000,-0.327343,104.407391,100.000000,-0.003527,50.943979,50.000000
27.000000,-0.317458,104.365709,100.000000,0.002533,50.924883,50.000000
27.100000,-0.307675,104.323928,100.000000,0.008378,50.905891,50.000000
27.200000,-0.297992,104.282058,100.000000,0.014016,50.887008,50.000000
27.300000,-0.288409,104.240109,100.000000,0.019455,50.868239,50.000000
27.400000,-0.278926,104.198090,100.000000,0.024704,50.849589,50.000000
27.500000,-0.269542,104.156012,100.000000,0.029770,50.831062,50.000000
27.600000,-0.260258,104.113885,100.000000,0.034663,50.812662,50.000000
27.700000,-0.251072,104.071717,100.000000,0.039389,50.794393,50.000000
27.800000,-0.241986,104.029517,100.000000,0.043955,50.776260,50.000000
27.900000,-0.233000,103.987296,100.000000,0.048368,50.758265,50.000000
28.000000,-0.224112,103.945062,100.000000,0.052635,50.740414,50.000000
28.100000,-0.215325,103.902823,100.000000,0.056762,50.722708,50.000000
28.200000,-0.206639,103.860589,100.000000,0.060755,50.705152,50.000000
28.300000,-0.198053,103.818369,100.000000,0.064620,50.687748,50.000000
28.400000,-0.189568,103.776170,100.000000,0.068360,50.670499,50.000000
28.500000,-0.181185,103.734000,100.000000,0.071982,50.653409,50.000000
28.600000,-0.172904,103.691869,100.000000,0.075489,50.636479,50.000000
28.700000,-0.164726,103.649783,100.000000,0.078887,50.619713,50.000000
28.800000,-0.156652,103.607751,100.000000,0.082177,50.603113,50.000000
28.900000,-0.148681,103.565781,100.000000,0.085365,50.586682,50.000000
29.000000,-0.140816,103.523880,100.000000,0.088453,50.570421,50.000000
29.100000,-0.133055,103.482055,100.000000,0.091444,50.554333,50.000000
29.200000,-0.125399,103.440314,100.000000,0.094341,50.538419,50.000000
29.300000,-0.117850,103.398664,100.000000,0.097145,50.522683,50.000000
29.400000,-0.110407,103.357111,100.000000,0.099860,50.507124,50.000000
29.500000,-0.103072,103.315664,100.000000,0.102487,50.491746,50.000000
29.600000,-0.095843,103.274327,100.000000,0.105027,50.476551,50.000000
29.700000,-0.088723,103.233109,100.000000,0.107483,50.461538,50.000000
29.800000,-0.081710,103.192015,100.000000,0.109854,50.446710,50.000000
29.900000,-0.074806,103.151052,100.000000,0.112144,50.432069,50.000000
30.000000,-0.068011,103.110225,100.000000,0.114351,50.417615,50.000000
30.100000,-0.061324,103.069542,100.000000,0.116478,50.403350,50.000000
30.200000,-0.054746,103.029007,100.000000,0.118525,50.389275,50.000000
30.300000,-0.048278,102.988626,100.000000,0.120493,50.375391,50.000000
30.400000,-0.041918,102.948406,100.000000,0.122381,50.361699,50.000000
30.500000,-0.035668,102.908350,100.000000,0.124191,50.348199,50.000000
30.600000,-0.029526,102.868466,100.000000,0.125923,50.334892,50.000000
30.700000,-0.023494,102.828758,100.000000,0.127577,50.321780,50.000000
30.800000,-0.017570,102.789230,100.000000,0.129153,50.308862,50.000000
30.900000,-0.011755,102.749888,100.000000,0.130652,50.296140,50.000000
31.000000,-0.006048,102.710737,100.000000,0.132074,50.283613,50.000000
31.100000,-0.000449,102.671782,100.000000,0.133419,50.271283,50.000000
31.200000,0.005042,102.633026,100.000000,0.134688,50.259149,50.000000
31.300000,0.010426,102.594474,100.000000,0.135880,50.247211,50.000000
31.400000,0.015704,102.556131,100.000000,0.136997,50.235470,50.000000
31.500000,0.020875,102.518000,100.000000,0.138038,50.223926,50.000000
31.600000,0.025940,102.480086,100.000000,0.139003,50.212578,50.000000
31.700000,0.030900,102.442393,100.000000,0.139893,50.201427,50.000000
31.800000,0.035756,102.404924,100.000000,0.140709,50.190473,50.000000
31.900000,0.040508,102.367682,100.000000,0.141451,50.179714,50.000000
32.000000,0.045157,102.330672,100.000000,0.142119,50.169152,50.000000
32.100000,0.049703,102.293897,100.000000,0.142715,50.158785,50.000000
32.200000,0.054148,102.257359,100.000000,0.143238,50.148614,50.000000
32.300000,0.058492,102.221063,100.000000,0.143689,50.138636,50.000000
32.400000,0.062736,102.185011,100.000000,0.144070,50.128853,50.000000
32.500000,0.066881,102.149207,100.000000,0.144381,50.119263,50.000000
32.600000,0.070927,102.113652,100.000000,0.144622,50.109866,50.000000
32.700000,0.074877,102.078350,100.000000,0.144796,50.100660,50.000000
32.800000,0.078730,102.043303,100.000000,0.144902,50.091646,50.000000
32.900000,0.082488,102.008513,100.000000,0.144943,50.082821,50.000000
33.000000,0.086151,101.973984,100.000000,0.144918,50.074185,50.000000
33.100000,0.089721,101.939718,100.000000,0.144830,50.065738,50.000000
33.200000,0.093199,101.905715,100.000000,0.144679,50.057477,50.000000
33.300000,0.096585,101.871980,100.000000,0.144466,50.049402,50.000000
33.400000,0.099881,101.838513,100.000000,0.144194,50.041512,50.000000
33.500000,0.103088,101.805316,100.000000,0.143863,50.033805,50.000000
33.600000,0.106207,101.772392,100.000000,0.143475,50.026280,50.000000
